Rating Agency,Corporation,Rating,Rating Date,CIK,Binary Rating,SIC Code,Sector,Ticker,Current Ratio,Long-term Debt / Capital,Debt/Equity Ratio,Gross Margin,Operating Margin,EBIT Margin,EBITDA Margin,Pre-Tax Profit Margin,Net Profit Margin,Asset Turnover,ROE - Return On Equity,Return On Tangible Equity,ROA - Return On Assets,ROI - Return On Investment,Operating Cash Flow Per Share,Free Cash Flow Per Share
Standard & Poor's Ratings Services,Container Store Inc. (The),B-,05-03-2013,1411688,0,5700,Shops,TCS,1.2548,0.5422,1.2806,58.8054,3.4159,3.4159,7.5969,-0.6479,-12.802,0.9388,-0.0557,0.0615,-0.0173,-0.0255,15.6471,-1.044
Standard & Poor's Ratings Services,Container Store Inc. (The),B,15-11-2013,1411688,0,5700,Shops,TCS,1.2548,0.5422,1.2806,58.8054,3.4159,3.4159,7.5969,-0.6479,-12.802,0.9388,-0.0557,0.0615,-0.0173,-0.0255,15.6471,-1.044
Standard & Poor's Ratings Services,"Controladora Mabe, S.A. de C.V.",BB+,27-08-2013,1520504,0,4512,Other,VLRS,0.4944,0.3651,1.0545,48.3752,3.2374,3.2374,5.042,1.769,1.7389,2.0407,18.4496,19.5232,3.5443,11.7177,0.522,0.7455
Moody's Investors Service,Cooper-Standard Holdings Inc.,CCC+,19-03-2013,1320461,0,3714,Durbl,CPS,2.0819,0.4311,0.8128,15.7907,4.3884,4.3884,8.7365,3.4085,2.6375,1.4241,12.7242,22.9651,3.8177,7.2389,3.8662,2.0631
Standard & Poor's Ratings Services,Corning Inc.,A,26-11-2013,24741,1,3679,BusEq,GLW,4.9565,0.1357,0.1606,41.4254,14.7154,14.7154,27.1593,24.6505,20.4194,0.2727,7.5976,8.1649,5.5694,6.5663,0.1143,0.4547
Standard & Poor's Ratings Services,Corning Inc.,A-,16-12-2013,24741,1,3679,BusEq,GLW,4.9565,0.1357,0.1606,41.4254,14.7154,14.7154,27.1593,24.6505,20.4194,0.2727,7.5976,8.1649,5.5694,6.5663,0.1143,0.4547
Moody's Investors Service,Corning Incorporated,A-,13-11-2013,24741,1,3679,BusEq,GLW,4.9565,0.1357,0.1606,41.4254,14.7154,14.7154,27.1593,24.6505,20.4194,0.2727,7.5976,8.1649,5.5694,6.5663,0.1143,0.4547
Standard & Poor's Ratings Services,Crown Castle GS III Corp.,BB,06-08-2013,1051470,0,6798,Money,CCI,1.49,0.718,2.5579,71.0544,34.0579,34.0579,66.3246,8.8456,7.2876,0.1928,7.1835,-11.2678,1.626,1.7963,0.146,-0.2755
Standard & Poor's Ratings Services,Crown Castle GS III Corp.,BB+,28-08-2013,1051470,0,6798,Money,CCI,1.49,0.718,2.5579,71.0544,34.0579,34.0579,66.3246,8.8456,7.2876,0.1928,7.1835,-11.2678,1.626,1.7963,0.146,-0.2755
Standard & Poor's Ratings Services,Cummins Inc.,A,19-09-2013,26172,1,3510,Manuf,CMI,2.2854,0.091,0.1111,25.4759,13.0034,13.0034,15.086,13.1014,9.49,1.3814,24.9211,28.2143,13.8508,22.6538,-2.6306,-3.0969
Fitch Ratings,Cummins Inc.,A,20-09-2013,26172,1,3510,Manuf,CMI,2.2854,0.091,0.1111,25.4759,13.0034,13.0034,15.086,13.1014,9.49,1.3814,24.9211,28.2143,13.8508,22.6538,-2.6306,-3.0969
Moody's Investors Service,"Cummins, Inc.",A-,12-04-2013,26172,1,3510,Manuf,CMI,2.2854,0.091,0.1111,25.4759,13.0034,13.0034,15.086,13.1014,9.49,1.3814,24.9211,28.2143,13.8508,22.6538,-2.6306,-3.0969
Moody's Investors Service,Cumulus Media Inc.,B,01-04-2013,1058623,0,4832,Telcm,CMLS,1.8086,0.9141,10.9518,37.8528,5.6808,5.6808,20.9893,-14.627,-5.4038,0.2677,-45.384,3.9832,-2.99,-3.8984,0.0917,0.1454
Fitch Ratings,"D. R. Horton, Inc.",BB,31-01-2013,882184,0,1531,Other,DHI,5.1016,0.4095,0.6935,19.7887,5.6821,5.6821,7.0418,5.5788,21.9637,0.6007,26.6031,26.8941,13.1936,15.7085,-0.8732,-0.9157
Fitch Ratings,"D. R. Horton, Inc.",BB,01-08-2013,882184,0,1531,Other,DHI,5.1016,0.4095,0.6935,19.7887,5.6821,5.6821,7.0418,5.5788,21.9637,0.6007,26.6031,26.8941,13.1936,15.7085,-0.8732,-0.9157
Egan-Jones Ratings Company,"D.R. HORTON, INC",BBB-,21-08-2013,882184,1,1531,Other,DHI,5.1016,0.4095,0.6935,19.7887,5.6821,5.6821,7.0418,5.5788,21.9637,0.6007,26.6031,26.8941,13.1936,15.7085,-0.8732,-0.9157
Egan-Jones Ratings Company,"D.R. HORTON, INC",BBB,20-12-2013,882184,1,1531,Other,DHI,5.9469,0.4635,0.864,22.4594,10.2168,10.2168,11.2137,10.5092,7.3922,0.7068,11.3926,11.5028,5.2245,6.112,-2.555,-2.6203
Standard & Poor's Ratings Services,D.R. Horton Inc.,BB-,29-01-2013,882184,0,1531,Other,DHI,5.1016,0.4095,0.6935,19.7887,5.6821,5.6821,7.0418,5.5788,21.9637,0.6007,26.6031,26.8941,13.1936,15.7085,-0.8732,-0.9157
Standard & Poor's Ratings Services,D.R. Horton Inc.,BB,26-06-2013,882184,0,1531,Other,DHI,5.1016,0.4095,0.6935,19.7887,5.6821,5.6821,7.0418,5.5788,21.9637,0.6007,26.6031,26.8941,13.1936,15.7085,-0.8732,-0.9157
Moody's Investors Service,"D.R. Horton, Inc.",BB,30-01-2013,882184,0,1531,Other,DHI,5.1016,0.4095,0.6935,19.7887,5.6821,5.6821,7.0418,5.5788,21.9637,0.6007,26.6031,26.8941,13.1936,15.7085,-0.8732,-0.9157
Moody's Investors Service,"D.R. Horton, Inc.",BB,31-07-2013,882184,0,1531,Other,DHI,5.1016,0.4095,0.6935,19.7887,5.6821,5.6821,7.0418,5.5788,21.9637,0.6007,26.6031,26.8941,13.1936,15.7085,-0.8732,-0.9157
Egan-Jones Ratings Company,DANA INCORPORATED,BBB+,21-08-2013,26780,1,3714,Durbl,DAN,2.2542,0.2919,0.4641,13.4828,5.9385,5.9385,9.8422,5.0388,3.7237,1.4044,26.3598,20.6965,6.1236,11.4504,-0.1396,0.0069
Egan-Jones Ratings Company,DANA INCORPORATED,BBB+,20-12-2013,26780,1,3714,Durbl,DAN,2.2542,0.2919,0.4641,13.4828,5.9385,5.9385,9.8422,5.0388,3.7237,1.4044,26.3598,20.6965,6.1236,11.4504,-0.1396,0.0069
Egan-Jones Ratings Company,DANAHER CORPORATION,A+,26-07-2013,313616,1,3826,BusEq,DHR,1.5035,0.2348,0.3126,50.8163,16.2655,16.2655,20.2119,15.2127,13.5005,0.5373,11.403,-57.8963,6.4619,8.726,0.6949,0.4952
Egan-Jones Ratings Company,DANAHER CORPORATION,AA-,17-10-2013,313616,1,3826,BusEq,DHR,1.5035,0.2348,0.3126,50.8163,16.2655,16.2655,20.2119,15.2127,13.5005,0.5373,11.403,-57.8963,6.4619,8.726,0.6949,0.4952
Egan-Jones Ratings Company,"DARDEN RESTAURANTS, INC",BB+,24-06-2013,940944,0,5812,Shops,DRI,0.54,0.5531,1.3174,22.0301,6.7556,6.7556,11.6754,4.6276,6.9566,0.8536,11.5222,41.098,3.4208,5.1495,0.6616,0.2
Egan-Jones Ratings Company,"DARDEN RESTAURANTS, INC",BB,04-10-2013,940944,0,5812,Shops,DRI,0.54,0.5531,1.3174,22.0301,6.7556,6.7556,11.6754,4.6276,6.9566,0.8536,11.5222,41.098,3.4208,5.1495,0.6616,0.2
Egan-Jones Ratings Company,"DARDEN RESTAURANTS, INC",BB,23-12-2013,940944,0,5812,Shops,DRI,0.54,0.5531,1.3174,22.0301,6.7556,6.7556,11.6754,4.6276,6.9566,0.8536,11.5222,41.098,3.4208,5.1495,0.6616,0.2
Egan-Jones Ratings Company,DAVITA INC.,BB-,02-07-2013,927066,0,8090,Hlth,DVA,1.4318,0.6801,2.1853,31.7938,15.8446,15.8446,20.0456,12.2315,6.5477,0.5112,16.3766,-8.954,4.0055,5.2392,-0.494,-1.6003
Egan-Jones Ratings Company,DAVITA INC.,BB-,25-09-2013,927066,0,8090,Hlth,DVA,1.4318,0.6801,2.1853,31.7938,15.8446,15.8446,20.0456,12.2315,6.5477,0.5112,16.3766,-8.954,4.0055,5.2392,-0.494,-1.6003
